mf,order,rmse_mean,mae_mean,r2_mean,ndei_mean,rmse_std,mae_std,r2_std,ndei_std,n_rules,active_rules,dead_rules,effective_rules,firing_entropy,mean_max_activation,n_params,seconds,rmse_reduction_vs_linear,rmse_reduction_vs_mlp,pvalue_vs_linear,pvalue_vs_mlp,significant_vs_linear_bh
gbell,1,0.0050341590936448,0.0038114686301713,0.9994802289165602,0.0225143212964652,0.0006143384777214,0.0005832474636913,0.0001691573822879,0.0035883728902515,16,16.0,0.0,14.55996248945388,2.678039979934693,0.8430597186088562,272,1.5340681076049805,0.9477702766696467,-0.0165111411946707,1.369959091099273e-07,0.5514075541235853,True
gbell,0,0.0191963101576964,0.0146611658561468,0.992588548446114,0.0856919211367468,0.0011165975468132,0.0009300093594558,0.0014454584613107,0.0082671764091292,24,24.0,0.0,20.316844059140145,3.010387420654297,0.7346866726875305,312,1.8824427127838133,0.8008370514619124,-2.876171329142251,8.147212253499646e-07,0.9999956103268256,True
gbell,1,0.0040983191852273,0.0030454014097929,0.9996589337840756,0.0182663705982915,0.0005904167315659,0.0004523429330434,9.76429799506417e-05,0.0027213822021457,24,24.0,0.0,21.65676929543013,3.074873781204224,0.8514631509780883,408,1.9656741619110107,0.9574796757150312,0.1724562067943708,3.1008036062173305e-07,0.1093995209470883,True
gbell,0,0.0190290373669797,0.014823304525494,0.9927579565680412,0.0846881438923683,0.0018956120588316,0.0012653896312421,0.0013585263496164,0.0083643120472819,32,32.0,0.0,27.301201286727636,3.306089162826538,0.7491434216499329,416,2.1250555515289307,0.8025725173892524,-2.842395150793635,6.744349496074585e-07,0.9996891332653084,True
gbell,1,0.003592425269887,0.002573708685142,0.999742771810696,0.0159504465788693,0.0004559733162678,0.0002654691633414,5.474604736092411e-05,0.0016767358881624,32,32.0,0.0,28.30066912120151,3.3427799701690675,0.8196016907691955,544,2.2356672286987305,0.962728357518928,0.2746076866423592,2.0058093953471147e-07,0.0466288941546321,True
gbell,0,0.0202063979812153,0.0147574033644876,0.99177031703324,0.0901950803731028,0.0015623471888763,0.0010032250993548,0.0017518125934775,0.0097226767533136,48,48.0,0.0,38.3382550778806,3.6460103034973135,0.7506619811058044,624,2.9616706371307373,0.7903573255374081,-3.080131018753214,1.8355570085879363e-06,0.9999777542888484,True
gbell,1,0.0046914868131307,0.0032148637701674,0.9995413441499076,0.0210050402485543,0.0007559743190709,0.0003727415816698,0.0001896049233759,0.004176617560779,48,48.0,0.0,41.12775705423094,3.716263198852539,0.8480698704719544,816,2.23042368888855,0.951325523548282,0.0526821807567421,3.256677017269944e-07,0.3629184305568237,True
gbell,0,0.0196938175482511,0.014672471820144,0.9923263434966518,0.0875492375204312,0.0011670349160992,0.0008335539007002,0.0005205518477714,0.002964373954028,64,64.0,0.0,51.42679997988612,3.9394481658935545,0.7434900403022766,832,3.8547842502594,0.7956753803903172,-2.976629379020713,5.490010419921158e-07,0.999987453392936,True
gbell,1,0.004881485410871,0.003338959276232,0.9995051292790832,0.0218244327337075,0.0008414507205121,0.000460101070615,0.0001941374664527,0.0043086954833703,64,64.0,0.0,53.87039858239234,3.9864391326904296,0.8559581875801087,1088,1.4388186931610107,0.949354275916148,0.0143171454406623,4.276903658696265e-07,0.4634293493488763,True
gbell,0,0.0210128942146206,0.0161718393908433,0.99114344859853,0.0936532666115298,0.001801751725917,0.0013564175449674,0.0017137261277194,0.0092529484198181,128,126.2,1.8,89.77325168238575,4.49674882888794,0.8094283223152161,1664,6.566575288772583,0.7819898754123402,-3.2429809389361006,1.5550076335837953e-07,0.9999862027145966,True
